date,breed,group,popularity_rank,height_avg,weight_avg,lifeexp_avg,energy_level,trainability_level,shedding_level,demeanor_level,baseline_pop_index,popularity_index,monthly_registrations
2018-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,25.03,15
2018-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,29.7,12
2018-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,34.7,23
2018-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,37.57,10
2018-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,39.21,18
2018-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,40.5,17
2018-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,34.72,25
2018-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,31.36,13
2018-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,25.28,10
2018-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,23.15,11
2018-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,21.85,12
2018-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.68,13
2019-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.57,9
2019-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,31.21,13
2019-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,33.74,19
2019-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,34.7,19
2019-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,36.98,18
2019-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,37.93,8
2019-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,35.12,19
2019-08-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,29.73,16
2019-09-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,26.22,17
2019-10-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.24,6
2019-11-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,24.33,20
2019-12-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,23.87,7
2020-01-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,27.66,13
2020-02-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,31.82,8
2020-03-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,35.43,17
2020-04-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,38.04,15
2020-05-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,38.1,26
2020-06-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,36.37,8
2020-07-01,Affenpinscher,Toy Group,148,26.04,3.86,13.5,3,4,3,5,23.04,34.97,11
