date,breed,group,region,height_avg,weight_avg,lifeexp_avg,energy_level,trainability_level,shedding_level,family_friendliness,popularity_index,monthly_registrations,google_search_index,vet_incidents_per_1k,adoption_rate,complaints_per_1k
2018-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,37.85,31,43.42,5.49,0.247,11.5
2018-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,42.59,21,50.07,4.64,0.345,10.68
2018-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,46.97,19,54.8,4.26,0.441,10.02
2018-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,49.99,17,56.68,3.95,0.53,8.97
2018-05-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,51.1,13,59.59,3.71,0.577,8.79
2018-06-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,49.89,19,56.27,4.81,0.531,9.28
2018-07-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,46.58,16,52.2,4.52,0.437,9.46
2018-08-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,42.38,20,47.0,6.4,0.359,9.34
2018-09-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.13,11,43.45,4.8,0.253,11.42
2018-10-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,35.62,13,43.18,3.57,0.212,11.03
2018-11-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,35.14,13,41.27,5.84,0.211,12.3
2018-12-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,36.87,20,42.57,2.98,0.232,12.1
2019-01-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,38.11,18,45.21,3.62,0.264,10.38
2019-02-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,42.63,24,47.18,4.99,0.35,10.07
2019-03-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,47.05,20,52.49,4.69,0.481,10.68
2019-04-01,Affenpinscher,Toy Group,Sureste,26.04,3.86,13.5,3,4,3,5,50.21,27,56.93,5.72,0.54,8.24
